mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed,allowed_uses
0,0,41459438,,1292,1,,1294,1,,1,41529697,41529701_2704829968,thru,,,,EBT,"LINESTRING (-111.9276007960777 33.424501255979, -111.9274286953146 33.42450205638182)",,,auto
1,0,41459438,,1292,1,,1510,1,,1,41529697,8122988905,right,,,,EBR,"LINESTRING (-111.9276007960777 33.424501255979, -111.9275136575458 33.42442910319659)",,,auto
2,0,41459438,,1295,1,,1293,1,,1,41529701_2704829968,41529697,thru,,,,WBT,"LINESTRING (-111.9274286953146 33.42450205638182, -111.9276007960777 33.424501255979)",,,auto
3,0,41459438,,1295,1,,1510,1,,1,41529701_2704829968,8122988905,left,,,,WBL,"LINESTRING (-111.9274286953146 33.42450205638182, -111.9275136575458 33.42442910319659)",,,auto
4,0,41459438,,1511,1,,1293,1,,1,8122988905,41529697,left,,,,NBL,"LINESTRING (-111.9275136575458 33.42442910319659, -111.9276007960777 33.424501255979)",,,auto
5,0,41459438,,1511,1,,1294,1,,1,8122988905,41529701_2704829968,right,,,,NBR,"LINESTRING (-111.9275136575458 33.42442910319659, -111.9274286953146 33.42450205638182)",,,auto
6,3,41520506,,2,1,,395,1,,1,41520505,3101265422,left,,,,SBL,"LINESTRING (-111.9442577937175 33.42958736219997, -111.9441701373042 33.42951473727391)",,,auto
7,3,41520506,,2,1,,574,1,,1,41520505,41520509,thru,,,,SBT,"LINESTRING (-111.9442577937175 33.42958736219997, -111.9442597207056 33.42944314069489)",,,auto
8,3,41520506,,394,1,,3,1,,1,3101265422,41520505,right,,,,WBR,"LINESTRING (-111.9441701373042 33.42951473727391, -111.9442577937175 33.42958736219997)",,,auto
9,3,41520506,,394,1,,574,1,,1,3101265422,41520509,left,,,,WBL,"LINESTRING (-111.9441701373042 33.42951473727391, -111.9442597207056 33.42944314069489)",,,auto
10,3,41520506,,575,1,,3,1,,1,41520509,41520505,thru,,,,NBT,"LINESTRING (-111.9442597207056 33.42944314069489, -111.9442577937175 33.42958736219997)",,,auto
11,3,41520506,,575,1,,395,1,,1,41520509,3101265422,right,,,,NBR,"LINESTRING (-111.9442597207056 33.42944314069489, -111.9441701373042 33.42951473727391)",,,auto
12,4,41520509,,574,1,,709,1,,1,41520506,3299517573,thru,,,,SBT,"LINESTRING (-111.9442852384659 33.42920828106372, -111.9443239855551 33.42907236408269)",,,auto
13,4,41520509,,574,1,,1217,1,,1,41520506,5199796535,right,,,,SBR,"LINESTRING (-111.9442852384659 33.42920828106372, -111.9444110277095 33.4291440220698)",,,auto
14,4,41520509,,710,1,,575,1,,1,3299517573,41520506,thru,,,,NBT,"LINESTRING (-111.9443239855551 33.42907236408269, -111.9442852384659 33.42920828106372)",,,auto
15,4,41520509,,710,1,,1217,1,,1,3299517573,5199796535,left,,,,NBL,"LINESTRING (-111.9443239855551 33.42907236408269, -111.9444110277095 33.4291440220698)",,,auto
16,4,41520509,,1218,1,,575,1,,1,5199796535,41520506,left,,,,EBL,"LINESTRING (-111.9444110277095 33.4291440220698, -111.9442852384659 33.42920828106372)",,,auto
17,4,41520509,,1218,2,,709,1,,1,5199796535,3299517573,right,,,,EBR,"LINESTRING (-111.9444110277095 33.4291440220698, -111.9443239855551 33.42907236408269)",,,auto
