movement_code,signal_node_code,signal_link,stageNo_in_Order,osm_node_id,node_id,groupNo,directionNo,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,lanes,mvmt_txt_id,volume,geometry
WBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,1,2,253,1101,41966652,4347900943,1,WBL,105,"LINESTRING (-111.9262109754582 33.41288278608436, -111.9262953092519 33.4128106384731)"
WBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,2,2,253,1102,41966652,4347900944,1,WBR,110,"LINESTRING (-111.9262109754582 33.41288278608436, -111.926299150698 33.41295491685275)"
NBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,2,3,1100,1102,4347900943,4347900944,3,NBT,930,"LINESTRING (-111.9262953092519 33.4128106384731, -111.926299150698 33.41295491685275)"
NBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,2,3,1100,252,4347900943,41966652,1,NBR,110,"LINESTRING (-111.9262953092519 33.4128106384731, -111.9262109754582 33.41288278608436)"
SBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,1,4,1103,252,4347900944,41966652,1,SBL,105,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262109754582 33.41288278608436)"
SBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_WS|T_NS|R_WN|,,,41573974,54,2,4,1103,1101,4347900944,4347900943,1,SBT,310,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262953092519 33.4128106384731)"
EBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_NS|L_A|T_A|R_A|,,,41573980,55,1,1,1570,1013,41654675,4347879974,1,EBL,105,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263028681245 33.41691010875997)"
EBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_NS|L_A|T_A|R_A|,,,41573980,55,2,1,1570,1572,41654675,5646687226,1,EBT,310,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9262177277877 33.41683513004448)"
EBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_NS|L_A|T_A|R_A|,,,41573980,55,2,1,1570,1035,41654675,4347879972,1,EBR,110,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263029415787 33.41676579867902)"
WBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_NS|L_A|T_A|R_A|,,,41573980,55,1,2,1573,1035,5646687226,4347879972,1,WBL,105,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263029415787 33.41676579867902)"
