movement_code,signal_node_code,signal_link,stageNo_in_Order,osm_node_id,node_id,groupNo,directionNo,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,lanes,movement_str,volume,geometry
EBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,1,1,1327,2637,41529697,,1,EBL,200.0,"LINESTRING (-111.9276003364512 33.42450126022504, -111.9275368705044 33.42457162264605)"
EBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,1,1327,1329,41529697,41529701;2704829968,1,EBT,500.0,"LINESTRING (-111.9276003364512 33.42450126022504, -111.92742823483 33.42450199799688)"
EBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,1,1327,1553,41529697,8122988905,1,EBR,500.0,"LINESTRING (-111.9276003364512 33.42450126022504, -111.9275142745578 33.42442983546943)"
WBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,1,2,1330,1553,41529701;2704829968,8122988905,1,WBL,200.0,"LINESTRING (-111.92742823483 33.42450199799688, -111.9275142745578 33.42442983546943)"
WBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,2,1330,1328,41529701;2704829968,41529697,1,WBT,500.0,"LINESTRING (-111.92742823483 33.42450199799688, -111.9276003364512 33.42450126022504)"
WBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,2,1330,2637,41529701;2704829968,,1,WBR,500.0,"LINESTRING (-111.92742823483 33.42450199799688, -111.9275368705044 33.42457162264605)"
NBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,1,3,1554,1328,8122988905,41529697,1,NBL,200.0,"LINESTRING (-111.9275142745578 33.42442983546943, -111.9276003364512 33.42450126022504)"
NBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,3,1554,2637,8122988905,,1,NBT,500.0,"LINESTRING (-111.9275142745578 33.42442983546943, -111.9275368705044 33.42457162264605)"
NBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,3,1554,1329,8122988905,41529701;2704829968,1,NBR,500.0,"LINESTRING (-111.9275142745578 33.42442983546943, -111.92742823483 33.42450199799688)"
SBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,1,4,2636,1329,,41529701;2704829968,1,SBL,200.0,"LINESTRING (-111.9275368705044 33.42457162264605, -111.92742823483 33.42450199799688)"
SBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,4,2636,1553,,8122988905,1,SBT,500.0,"LINESTRING (-111.9275368705044 33.42457162264605, -111.9275142745578 33.42442983546943)"
SBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41459438,,,41459438,0,2,4,2636,1841,,,1,SBR,500.0,"LINESTRING (-111.9275368705044 33.42457162264605, -111.9275482880666 33.42456828050395)"
EBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,1,1,2980,2985,,,1,EBL,200.0,"LINESTRING (-111.9443363429259 33.42948967228585, -111.9443141938134 33.42956916540348)"
EBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,1,2980,405,,3101265422,1,EBT,500.0,"LINESTRING (-111.9443363429259 33.42948967228585, -111.944170106528 33.42951538593105)"
EBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,1,2980,595,,41520509,1,EBR,500.0,"LINESTRING (-111.9443363429259 33.42948967228585, -111.9442596838649 33.42944378402159)"
WBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,1,2,404,595,3101265422,41520509,1,WBL,200.0,"LINESTRING (-111.944170106528 33.42951538593105, -111.9442596838649 33.42944378402159)"
WBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,2,404,2981,3101265422,,1,WBT,500.0,"LINESTRING (-111.944170106528 33.42951538593105, -111.9443363429259 33.42948967228585)"
WBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,2,404,2985,3101265422,,1,WBR,500.0,"LINESTRING (-111.944170106528 33.42951538593105, -111.9443141938134 33.42956916540348)"
NBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,1,3,596,2985,41520509,,1,NBL,200.0,"LINESTRING (-111.9442596838649 33.42944378402159, -111.9443141938134 33.42956916540348)"
NBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,3,596,3,41520509,41520505,1,NBT,500.0,"LINESTRING (-111.9442596838649 33.42944378402159, -111.944257776824 33.42958800314396)"
NBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,3,596,405,41520509,3101265422,1,NBR,500.0,"LINESTRING (-111.9442596838649 33.42944378402159, -111.944170106528 33.42951538593105)"
SBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,1,4,2984,405,,3101265422,1,SBL,200.0,"LINESTRING (-111.9443141938134 33.42956916540348, -111.944170106528 33.42951538593105)"
SBT|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,4,2,595,41520505,41520509,1,SBT,500.0,"LINESTRING (-111.944257776824 33.42958800314396, -111.9442596838649 33.42944378402159)"
SBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,#|Ma_EW|L_A|T_A|R_A|OSMID_41520506,,,41520506,3,2,4,2984,2981,,,1,SBR,500.0,"LINESTRING (-111.9443141938134 33.42956916540348, -111.9443363429259 33.42948967228585)"
EBL|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_ENS|T_NS|R_ENS|OSMID_41520509,,,41520509,4,1,1,1251,596,5199796535,41520506,1,EBL,200.0,"LINESTRING (-111.9444109652965 33.42914375442389, -111.9442852074343 33.42920802637153)"
EBR|no_Treatment|NEMA_Phase_-1|Ring_-1|Barrier_-1,T|Ma_NS|L_ENS|T_NS|R_ENS|OSMID_41520509,,,41520509,4,2,1,1251,3009,5199796535,,1,EBR,500.0,"LINESTRING (-111.9444109652965 33.42914375442389, -111.9442669813063 33.42909089263425)"
