signal_phase_mvmt_id,controller_id,mvmt_txt_id,signal_phase_num,timing_plan_id,mvmt_id,node_id,osm_node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,protection,osm_web_address,geometry
0,,EBT,2,0,0,0,41459438,1292,1294,41529697,41529701_2704829968,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9276007960777 33.424501255979, -111.9274286953146 33.42450205638182)"
1,,EBR,2,0,1,0,41459438,1292,1510,41529697,8122988905,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9276007960777 33.424501255979, -111.9275136575458 33.42442910319659)"
2,,WBL,5,0,3,0,41459438,1295,1510,41529701_2704829968,8122988905,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9274286953146 33.42450205638182, -111.9275136575458 33.42442910319659)"
3,,WBT,6,0,2,0,41459438,1295,1293,41529701_2704829968,41529697,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9274286953146 33.42450205638182, -111.9276007960777 33.424501255979)"
4,,NBL,3,0,4,0,41459438,1511,1293,8122988905,41529697,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9275136575458 33.42442910319659, -111.9276007960777 33.424501255979)"
5,,NBR,4,0,5,0,41459438,1511,1294,8122988905,41529701_2704829968,protected,http://openstreetmap.org/node/41459438,"LINESTRING (-111.9275136575458 33.42442910319659, -111.9274286953146 33.42450205638182)"
0,,WBL,7,0,9,3,41520506,394,574,3101265422,41520509,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9441701373042 33.42951473727391, -111.9442597207056 33.42944314069489)"
1,,WBR,8,0,8,3,41520506,394,3,3101265422,41520505,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9441701373042 33.42951473727391, -111.9442577937175 33.42958736219997)"
2,,NBT,2,0,10,3,41520506,575,3,41520509,41520505,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442597207056 33.42944314069489, -111.9442577937175 33.42958736219997)"
3,,NBR,2,0,11,3,41520506,575,395,41520509,3101265422,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442597207056 33.42944314069489, -111.9441701373042 33.42951473727391)"
4,,SBL,5,0,6,3,41520506,2,395,41520505,3101265422,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442577937175 33.42958736219997, -111.9441701373042 33.42951473727391)"
5,,SBT,6,0,7,3,41520506,2,574,41520505,41520509,protected,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442577937175 33.42958736219997, -111.9442597207056 33.42944314069489)"
0,,EBL,3,0,16,4,41520509,1218,575,5199796535,41520506,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9444110277095 33.4291440220698, -111.9442852384659 33.42920828106372)"
1,,EBR,4,0,17,4,41520509,1218,709,5199796535,3299517573,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9444110277095 33.4291440220698, -111.9443239855551 33.42907236408269)"
2,,NBL,1,0,15,4,41520509,710,1217,3299517573,5199796535,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9443239855551 33.42907236408269, -111.9444110277095 33.4291440220698)"
3,,NBT,2,0,14,4,41520509,710,575,3299517573,41520506,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9443239855551 33.42907236408269, -111.9442852384659 33.42920828106372)"
4,,SBT,6,0,12,4,41520509,574,709,41520506,3299517573,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442852384659 33.42920828106372, -111.9443239855551 33.42907236408269)"
5,,SBR,6,0,13,4,41520509,574,1217,41520506,5199796535,protected,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442852384659 33.42920828106372, -111.9444110277095 33.4291440220698)"
0,,EBL,1,0,19,5,41520512,383,712,6453652435,3299517573,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9443737841626 33.42546805784558, -111.9442869538246 33.42554022400536)"
1,,EBT,2,0,20,5,41520512,383,723,6453652435,41563500,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9443737841626 33.42546805784558, -111.9442047768512 33.42544907416154)"
2,,EBR,2,0,18,5,41520512,383,552,6453652435,41520515,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9443737841626 33.42546805784558, -111.9442885862681 33.42539591434665)"
3,,WBL,5,0,28,5,41520512,1480,552,41563500,41520515,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442095403595 33.42549820482712, -111.9442885862681 33.42539591434665)"
4,,WBT,6,0,27,5,41520512,1480,382,41563500,6453652435,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442095403595 33.42549820482712, -111.9443737841626 33.42546805784558)"
5,,WBR,6,0,29,5,41520512,1480,712,41563500,3299517573,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442095403595 33.42549820482712, -111.9442869538246 33.42554022400536)"
6,,NBL,3,0,21,5,41520512,553,382,41520515,6453652435,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442885862681 33.42539591434665, -111.9443737841626 33.42546805784558)"
7,,NBT,4,0,22,5,41520512,553,712,41520515,3299517573,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442885862681 33.42539591434665, -111.9442869538246 33.42554022400536)"
8,,NBR,4,0,23,5,41520512,553,723,41520515,41563500,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442885862681 33.42539591434665, -111.9442047768512 33.42544907416154)"
9,,SBL,7,0,26,5,41520512,711,723,3299517573,41563500,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442869538246 33.42554022400536, -111.9442047768512 33.42544907416154)"
10,,SBT,8,0,25,5,41520512,711,552,3299517573,41520515,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442869538246 33.42554022400536, -111.9442885862681 33.42539591434665)"
11,,SBR,8,0,24,5,41520512,711,382,3299517573,6453652435,protected,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442869538246 33.42554022400536, -111.9443737841626 33.42546805784558)"
0,,EBL,3,0,30,6,41520515,296,553,,41520512,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443897084242 33.42432021309035, -111.9443022952931 33.42439200027535)"
1,,EBR,4,0,31,6,41520515,296,554,,41520518,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443897084242 33.42432021309035, -111.9443033767142 33.42424769349459)"
2,,NBL,1,0,34,6,41520515,555,295,41520518,,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443033767142 33.42424769349459, -111.9443897084242 33.42432021309035)"
3,,NBT,2,0,35,6,41520515,555,553,41520518,41520512,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443033767142 33.42424769349459, -111.9443022952931 33.42439200027535)"
4,,SBT,6,0,33,6,41520515,552,554,41520512,41520518,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443022952931 33.42439200027535, -111.9443033767142 33.42424769349459)"
5,,SBR,6,0,32,6,41520515,552,295,41520512,,protected,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443022952931 33.42439200027535, -111.9443897084242 33.42432021309035)"
0,,EBL,3,0,36,7,41520518,137,555,,41520515,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9443851981403 33.4231770367943, -111.9442994362174 33.4232492055154)"
1,,EBR,4,0,37,7,41520518,137,556,,41520521,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9443851981403 33.4231770367943, -111.9442979519355 33.42310489665727)"
2,,NBL,1,0,40,7,41520518,557,136,41520521,,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442979519355 33.42310489665727, -111.9443851981403 33.4231770367943)"
3,,NBT,2,0,41,7,41520518,557,555,41520521,41520515,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442979519355 33.42310489665727, -111.9442994362174 33.4232492055154)"
4,,SBT,6,0,39,7,41520518,554,556,41520515,41520521,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442994362174 33.4232492055154, -111.9442979519355 33.42310489665727)"
5,,SBR,6,0,38,7,41520518,554,136,41520515,,protected,http://openstreetmap.org/node/41520518,"LINESTRING (-111.9442994362174 33.4232492055154, -111.9443851981403 33.4231770367943)"
0,,EBL,1,0,51,8,41520521,863,557,4346605144,41520518,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443516179613 33.42189392395884, -111.9442778686826 33.4219648913168)"
1,,EBT,2,0,53,8,41520521,863,861,4346605144,4346605143,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443516179613 33.42189392395884, -111.9441795221951 33.42189422908517)"
2,,EBR,2,0,52,8,41520521,863,558,4346605144,41520523,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443516179613 33.42189392395884, -111.944253431713 33.42182213135653)"
3,,WBL,5,0,49,8,41520521,860,558,4346605143,41520523,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441795221951 33.42189422908517, -111.944253431713 33.42182213135653)"
4,,WBT,6,0,50,8,41520521,860,862,4346605143,4346605144,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441795221951 33.42189422908517, -111.9443516179613 33.42189392395884)"
5,,WBR,6,0,48,8,41520521,860,557,4346605143,41520518,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9441795221951 33.42189422908517, -111.9442778686826 33.4219648913168)"
6,,NBL,3,0,47,8,41520521,559,862,41520523,4346605144,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944253431713 33.42182213135653, -111.9443516179613 33.42189392395884)"
7,,NBT,4,0,45,8,41520521,559,557,41520523,41520518,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944253431713 33.42182213135653, -111.9442778686826 33.4219648913168)"
8,,NBR,4,0,46,8,41520521,559,861,41520523,4346605143,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944253431713 33.42182213135653, -111.9441795221951 33.42189422908517)"
