name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
1700 South,0,10127505,0,165,1,48.9795137421674,2,35,,tertiary,5,"LINESTRING (-111.8910707 40.7335109, -111.8908873 40.7335105, -111.8904894 40.7335097)",auto,1
1700 South,1,10127505,165,0,1,48.9795137421674,2,35,,tertiary,5,"LINESTRING (-111.8904894 40.7335097, -111.8908873 40.7335105, -111.8910707 40.7335109)",auto,1
Quayle Avenue,2,10127557,7,8,1,123.24783043456611,1,29,,residential,6,"LINESTRING (-111.8911044 40.731763, -111.8913104 40.7317631, -111.8919189 40.7317634, -111.8925671 40.7317637)",auto,1
Quayle Avenue,3,10127557,8,7,1,123.24783043456611,1,29,,residential,6,"LINESTRING (-111.8925671 40.7317637, -111.8919189 40.7317634, -111.8913104 40.7317631, -111.8911044 40.731763)",auto,1
Quayle Avenue,4,10127557,8,217,1,61.75618724256866,1,29,,residential,6,"LINESTRING (-111.8925671 40.7317637, -111.8933 40.7317678)",auto,1
Quayle Avenue,5,10127557,217,8,1,61.75618724256866,1,29,,residential,6,"LINESTRING (-111.8933 40.7317678, -111.8925671 40.7317637)",auto,1
Harvard Avenue,6,10128289,11,12,1,229.52207323640013,1,29,,residential,6,"LINESTRING (-111.8910368 40.7448384, -111.8908829 40.7448378, -111.8902569 40.7448458, -111.890153 40.7448471, -111.8897737 40.7448519, -111.8895136 40.7448552, -111.8889188 40.7448553, -111.8884812 40.7448553, -111.888452 40.7448553, -111.8883125 40.7448553)",auto,1
Harvard Avenue,7,10128289,12,11,1,229.52207323640013,1,29,,residential,6,"LINESTRING (-111.8883125 40.7448553, -111.888452 40.7448553, -111.8884812 40.7448553, -111.8889188 40.7448553, -111.8895136 40.7448552, -111.8897737 40.7448519, -111.890153 40.7448471, -111.8902569 40.7448458, -111.8908829 40.7448378, -111.8910368 40.7448384)",auto,1
Harvard Avenue,8,10128289,12,188,1,15.844934701459149,1,29,,residential,6,"LINESTRING (-111.8883125 40.7448553, -111.8881253 40.7448691)",auto,1
Harvard Avenue,9,10128289,188,12,1,15.844934701459149,1,29,,residential,6,"LINESTRING (-111.8881253 40.7448691, -111.8883125 40.7448553)",auto,1
Herbert Avenue,10,10128715,14,218,1,199.20845127102072,1,29,,residential,6,"LINESTRING (-111.8853646 40.7464643, -111.8839607 40.7464513, -111.8830392 40.7464552, -111.883 40.7464554)",auto,1
Herbert Avenue,11,10128715,218,14,1,199.2084512710207,1,29,,residential,6,"LINESTRING (-111.883 40.7464554, -111.8830392 40.7464552, -111.8839607 40.7464513, -111.8853646 40.7464643)",auto,1
Herbert Avenue,12,10128719,190,15,1,233.74700043049495,1,29,,residential,6,"LINESTRING (-111.8881394 40.7460491, -111.8880023 40.74605, -111.8874714 40.7460533, -111.8854847 40.7460658, -111.8853648 40.7460666)",auto,1
Herbert Avenue,13,10128719,15,190,1,233.74700043049495,1,29,,residential,6,"LINESTRING (-111.8853648 40.7460666, -111.8854847 40.7460658, -111.8874714 40.7460533, -111.8880023 40.74605, -111.8881394 40.7460491)",auto,1
Herbert Avenue,14,10128720,16,17,1,118.22542470084659,1,29,,unclassified,11,"LINESTRING (-111.891042 40.7464269, -111.8908839 40.7464266, -111.8897996 40.7464247, -111.8896386 40.7464244)",auto,1
Herbert Avenue,15,10128720,17,16,1,118.22542470084659,1,29,,unclassified,11,"LINESTRING (-111.8896386 40.7464244, -111.8897996 40.7464247, -111.8908839 40.7464266, -111.891042 40.7464269)",auto,1
Herbert Avenue,16,10128720,17,18,1,109.90592881469128,1,29,,unclassified,11,"LINESTRING (-111.8896386 40.7464244, -111.8895191 40.746425, -111.8884849 40.7464309, -111.888447 40.7464313, -111.888334 40.7464325)",auto,1
Herbert Avenue,17,10128720,18,17,1,109.90592881469128,1,29,,unclassified,11,"LINESTRING (-111.888334 40.7464325, -111.888447 40.7464313, -111.8884849 40.7464309, -111.8895191 40.746425, -111.8896386 40.7464244)",auto,1
Herbert Avenue,18,10128720,18,191,1,15.806764833592556,1,29,,unclassified,11,"LINESTRING (-111.888334 40.7464325, -111.8881465 40.7464379)",auto,1
Herbert Avenue,19,10128720,191,18,1,15.806764833592556,1,29,,unclassified,11,"LINESTRING (-111.8881465 40.7464379, -111.888334 40.7464325)",auto,1
Garfield Avenue,20,10128922,22,219,1,106.39909962043383,1,29,,residential,6,"LINESTRING (-111.8842626 40.7295135, -111.8841772 40.7295143, -111.883 40.7295254)",auto,1
Garfield Avenue,21,10128922,219,22,1,106.39909962043383,1,29,,residential,6,"LINESTRING (-111.883 40.7295254, -111.8841772 40.7295143, -111.8842626 40.7295135)",auto,1
1300 South,22,10130796,34,39,1,120.17958608540627,2,30,,secondary,4,"LINESTRING (-111.8910748 40.7415732, -111.8908892 40.7415749, -111.8896484 40.7415858)",auto,1
1300 South,23,10130796,39,34,1,120.17958608540627,2,30,,secondary,4,"LINESTRING (-111.8896484 40.7415858, -111.8908892 40.7415749, -111.8910748 40.7415732)",auto,1
1300 South,24,10130796,39,40,1,112.45438258073558,2,30,,secondary,4,"LINESTRING (-111.8896484 40.7415858, -111.8890083 40.7415852, -111.8888524 40.741585, -111.8887719 40.7415849, -111.8884945 40.7415847, -111.8883136 40.7415845)",auto,1
1300 South,25,10130796,40,39,1,112.45438258073558,2,30,,secondary,4,"LINESTRING (-111.8883136 40.7415845, -111.8884945 40.7415847, -111.8887719 40.7415849, -111.8888524 40.741585, -111.8890083 40.7415852, -111.8896484 40.7415858)",auto,1
Nowell Circle,26,10130905,44,45,1,144.4647702906014,1,29,,residential,6,"LINESTRING (-111.8844506 40.7254404, -111.88445 40.7253377, -111.88445 40.725174, -111.8844493 40.7249209, -111.8844474 40.7241412)",auto,1
Nowell Circle,27,10130905,45,44,1,144.4647702906014,1,29,,residential,6,"LINESTRING (-111.8844474 40.7241412, -111.8844493 40.7249209, -111.88445 40.725174, -111.88445 40.7253377, -111.8844506 40.7254404)",auto,1
Nowell Circle,28,10130905,45,46,1,55.21015649000997,1,29,,residential,6,"LINESTRING (-111.8844474 40.7241412, -111.8844528 40.7236447)",auto,1
Nowell Circle,29,10130905,46,45,1,55.21015649000997,1,29,,residential,6,"LINESTRING (-111.8844528 40.7236447, -111.8844474 40.7241412)",auto,1
Van Buren Avenue,30,10131265,31,220,1,186.73692530192278,1,29,,residential,6,"LINESTRING (-111.8910837 40.7355763, -111.891295 40.7355757, -111.8933 40.7355705)",auto,1
Van Buren Avenue,31,10131265,220,31,1,186.73692530192278,1,29,,residential,6,"LINESTRING (-111.8933 40.7355705, -111.891295 40.7355757, -111.8910837 40.7355763)",auto,1
Fayette Avenue,32,10131351,36,221,1,188.90305504256548,1,29,,residential,6,"LINESTRING (-111.8910582 40.7480138, -111.8912917 40.7480094, -111.8919152 40.7479976, -111.891945 40.7479968, -111.8921307 40.7479921, -111.892557 40.7479813, -111.8931225 40.7479839, -111.8931755 40.7479841, -111.8933 40.7479847)",auto,1
Fayette Avenue,33,10131351,221,36,1,188.9030550425655,1,29,,residential,6,"LINESTRING (-111.8933 40.7479847, -111.8931755 40.7479841, -111.8931225 40.7479839, -111.892557 40.7479813, -111.8921307 40.7479921, -111.891945 40.7479968, -111.8919152 40.7479976, -111.8912917 40.7480094, -111.8910582 40.7480138)",auto,1
Eardley Place,34,10131432,154,212,1,226.24524911966685,1,29,,unclassified,11,"LINESTRING (-111.8909904 40.7551638, -111.8908892 40.7551633, -111.8907437 40.7551626, -111.8895661 40.7551635, -111.8894104 40.7551643, -111.8884375 40.7551633, -111.8883044 40.7551625)",auto,1
Eardley Place,35,10131432,212,154,1,226.24524911966685,1,29,,unclassified,11,"LINESTRING (-111.8883044 40.7551625, -111.8884375 40.7551633, -111.8894104 40.7551643, -111.8895661 40.7551635, -111.8907437 40.7551626, -111.8908892 40.7551633, -111.8909904 40.7551638)",auto,1
900 South,36,10132156,37,47,1,124.9444603382868,2,30,,tertiary,5,"LINESTRING (-111.8910574 40.7497791, -111.8912887 40.7497788, -111.8919114 40.7497752, -111.8925406 40.7497715)",auto,1
900 South,37,10132156,47,37,1,124.9444603382868,2,30,,tertiary,5,"LINESTRING (-111.8925406 40.7497715, -111.8919114 40.7497752, -111.8912887 40.7497788, -111.8910574 40.7497791)",auto,1
900 South,38,10132156,47,222,1,64.0068514427508,2,30,,tertiary,5,"LINESTRING (-111.8925406 40.7497715, -111.8927555 40.7497804, -111.8933 40.7497719)",auto,1
900 South,39,10132156,222,47,1,64.0068514427508,2,30,,tertiary,5,"LINESTRING (-111.8933 40.7497719, -111.8927555 40.7497804, -111.8925406 40.7497715)",auto,1
700 South,40,10132339,155,48,1,182.08559634205545,1,29,,residential,6,"LINESTRING (-111.8904956 40.7541265, -111.8894924 40.7541213, -111.889363 40.7541206, -111.8889104 40.7541183, -111.8884397 40.7541126, -111.888334 40.7541113)",auto,1
