mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
0,0,83542105,,1,2,,191,2,,1,2175883097,2175883096,thru,,,,WBT,"LINESTRING (-111.8904894 40.7335097, -111.8910707 40.7335109, -111.8917293 40.7335081)"
1,0,83542105,,1,1,,411,1,,1,2175883097,83542603,left,,,,WBL,"LINESTRING (-111.8904894 40.7335097, -111.8910707 40.7335109, -111.8911044 40.731763)"
2,0,83542105,,1,2,,548,2,,1,2175883097,83553442,right,,,,WBR,"LINESTRING (-111.8904894 40.7335097, -111.8910707 40.7335109, -111.8910795 40.7351342)"
3,0,83542105,,192,2,,0,2,,1,2175883096,2175883097,thru,,,,EBT,"LINESTRING (-111.8917293 40.7335081, -111.8910707 40.7335109, -111.8904894 40.7335097)"
4,0,83542105,,192,2,,411,2,,1,2175883096,83542603,right,,,,EBR,"LINESTRING (-111.8917293 40.7335081, -111.8910707 40.7335109, -111.8911044 40.731763)"
5,0,83542105,,192,1,,548,1,,1,2175883096,83553442,left,,,,EBL,"LINESTRING (-111.8917293 40.7335081, -111.8910707 40.7335109, -111.8910795 40.7351342)"
6,0,83542105,,410,2,,0,2,,1,83542603,2175883097,right,,,,NBR,"LINESTRING (-111.8911044 40.731763, -111.8910707 40.7335109, -111.8904894 40.7335097)"
7,0,83542105,,410,1,,191,1,,1,83542603,2175883096,left,,,,NBL,"LINESTRING (-111.8911044 40.731763, -111.8910707 40.7335109, -111.8917293 40.7335081)"
8,0,83542105,,410,2,,548,2,,1,83542603,83553442,thru,,,,NBT,"LINESTRING (-111.8911044 40.731763, -111.8910707 40.7335109, -111.8910795 40.7351342)"
9,0,83542105,,549,1,,0,1,,1,83553442,2175883097,left,,,,SBL,"LINESTRING (-111.8910795 40.7351342, -111.8910707 40.7335109, -111.8904894 40.7335097)"
10,0,83542105,,549,2,,191,2,,1,83553442,2175883096,right,,,,SBR,"LINESTRING (-111.8910795 40.7351342, -111.8910707 40.7335109, -111.8917293 40.7335081)"
11,0,83542105,,549,2,,411,2,,1,83553442,83542603,thru,,,,SBT,"LINESTRING (-111.8910795 40.7351342, -111.8910707 40.7335109, -111.8911044 40.731763)"
12,1,83542106,,334,1,,336,1,,1,83624766,83624770,thru,,,,SBT,"LINESTRING (-111.8896879 40.7351384, -111.8896451 40.7335069, -111.8896365 40.7326939)"
13,1,83542106,,334,1,,473,2,,1,83624766,2175883097,right,,,,SBR,"LINESTRING (-111.8896879 40.7351384, -111.8896451 40.7335069, -111.8904894 40.7335097)"
14,1,83542106,,334,1,,474,1,,1,83624766,2175883099,left,,,,SBL,"LINESTRING (-111.8896879 40.7351384, -111.8896451 40.7335069, -111.8889866 40.7335144)"
15,1,83542106,,337,1,,335,1,,1,83624770,83624766,thru,,,,NBT,"LINESTRING (-111.8896365 40.7326939, -111.8896451 40.7335069, -111.8896879 40.7351384)"
