name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,83542105,traffic_signals,,1,,,,-111.8910707,40.7335109,,,
,2,83542107,traffic_signals,,1,,,,-111.8883449,40.7335353,12,,
,9,83547443,traffic_signals,,1,,,,-111.8883457,40.758468,11,,
,10,83547445,traffic_signals,,1,,,,-111.8853472,40.7584578,,,
,24,83553429,traffic_signals,,1,,,,-111.891093,40.7254496,,,
,34,83553449,traffic_signals,,1,,,,-111.8910748,40.7415732,,,
,37,83553455,traffic_signals,,1,,,,-111.8910574,40.7497791,,,
,38,83553456,traffic_signals,,1,,,,-111.8910874,40.7519431,,,
,40,83569586,traffic_signals,,1,,,,-111.8883136,40.7415845,8,,
,42,83569592,traffic_signals,,1,,,,-111.8853866,40.7416288,,,
,48,83586772,traffic_signals,,1,,,,-111.888334,40.7541113,3,,
,49,83586775,traffic_signals,,1,,,,-111.885351,40.7541174,,,
,59,83600854,traffic_signals,,1,,,,-111.8853625,40.7519509,,,
,79,83621461,traffic_signals,,1,,,,-111.8883201,40.7562988,7,,
,80,83621465,traffic_signals,,1,,,,-111.8883146,40.7497954,5,,
,81,83621469,traffic_signals,,1,,,,-111.8883102,40.7367856,10,,
,84,83621473,traffic_signals,,1,,,,-111.8883278,40.7314637,1,,
,85,83621475,traffic_signals,,1,,,,-111.8883195,40.7286888,2,,
,87,83621478,traffic_signals,,1,,,,-111.8883529,40.7254667,9,,
,125,83659817,traffic_signals,,1,,,,-111.8853711,40.7562993,,,
,127,83659823,traffic_signals,,1,,,,-111.8853613,40.7497922,,,
,152,1223826058,traffic_signals,,1,,,,-111.8911462,40.7540742,4,,
,153,1223826066,traffic_signals,,1,,,,-111.8911583,40.7541831,4,,
,156,1223826118,traffic_signals,,1,,,,-111.8909886,40.7562997,6,,
,157,1223826127,traffic_signals,,1,,,,-111.8910277,40.7540837,4,,
,158,1223826175,traffic_signals,,1,,,,-111.8911972,40.7584814,0,,
,159,1223826189,traffic_signals,,1,,,,-111.891017,40.754171,4,,
,160,1223826198,traffic_signals,,1,,,,-111.8911981,40.7562995,6,,
,161,1223826229,traffic_signals,,1,,,,-111.8909946,40.7584835,0,,
,163,1615680901,traffic_signals,,1,,,,-111.8853566,40.7595606,,,
,172,3529416854,traffic_signals,,1,,,,-111.8881489,40.7254673,9,,
,174,3529416861,traffic_signals,,1,,,,-111.8881229,40.7286905,2,,
,177,3529416867,traffic_signals,,1,,,,-111.8881292,40.7314632,1,,
,178,3529416869,traffic_signals,,1,,,,-111.8881473,40.7335323,12,,
,181,3529416874,traffic_signals,,1,,,,-111.8881247,40.7367815,10,,
,183,3529416879,traffic_signals,,1,,,,-111.8881184,40.7415897,8,,
,193,3529416898,traffic_signals,,1,,,,-111.8881389,40.7497999,5,,
,195,3529416904,traffic_signals,,1,,,,-111.8881571,40.7541167,3,,
,196,3529416908,traffic_signals,,1,,,,-111.8881361,40.7563013,7,,
,197,3529416913,traffic_signals,,1,,,,-111.888156,40.7584694,11,,
