mvmt_id,node_id,osm_node_id,name,ib_link_id,ib_lane,ob_link_id,ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,volume,sharedLanes,movement_str,geometry
0,0,41459438,,726,1,728,1,1,41529697,41529701;2704829968,,,,,300,1,EBT,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9263026 33.4245036)"
1,0,41459438,,726,1,803,1,1,41529697,7121927018,,,,,250,1,EBR,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9278751 33.4233106)"
2,0,41459438,,729,1,727,1,1,41529701;2704829968,41529697,,,,,300,1,WBT,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9290798 33.4242989)"
3,0,41459438,,729,1,803,1,1,41529701;2704829968,7121927018,,,,,250,1,WBL,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9278751 33.4233106)"
4,0,41459438,,802,1,727,1,1,7121927018,41529697,,,,,268,1,NBL,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9290798 33.4242989)"
5,0,41459438,,802,1,728,1,1,7121927018,41529701;2704829968,,,,,267,1,NBR,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9263026 33.4245036)"
6,1,41520512,,218,1,329,1,1,,41520515,,,,,256,1,EBR,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9443033 33.4243197)"
7,1,41520512,,218,1,439,1,1,,3299517573,,,,,252,1,EBL,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9442762 33.426894)"
8,1,41520512,,218,1,440,1,1,,41563500,,,,,247,1,EBT,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.943347 33.4254811)"
9,1,41520512,,330,1,217,1,1,41520515,,,,,,243,1,NBL,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.9446 33.425474)"
10,1,41520512,,330,1,439,1,1,41520515,3299517573,,,,,238,1,NBT,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.9442762 33.426894)"
11,1,41520512,,330,1,440,1,1,41520515,41563500,,,,,233,1,NBR,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.943347 33.4254811)"
12,1,41520512,,438,1,217,1,1,3299517573,,,,,,229,1,SBR,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.9446 33.425474)"
13,1,41520512,,438,1,329,1,1,3299517573,41520515,,,,,224,1,SBT,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.9443033 33.4243197)"
14,1,41520512,,438,1,440,1,1,3299517573,41563500,,,,,220,1,SBL,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.943347 33.4254811)"
15,1,41520512,,839,2,217,1,1,41563500,,,,,,215,1,WBT,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9446 33.425474)"
16,1,41520512,,839,1,329,1,1,41563500,41520515,,,,,210,1,WBL,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9443033 33.4243197)"
17,1,41520512,,839,2,439,1,1,41563500,3299517573,,,,,206,1,WBR,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9442762 33.426894)"
18,2,41520515,,175,1,330,1,1,,41520512,,,,,300,1,EBL,"LINESTRING (-111.9446 33.4243213, -111.9443033 33.4243197, -111.9442814 33.4254737)"
19,2,41520515,,175,1,331,1,1,,41520518,,,,,250,1,EBR,"LINESTRING (-111.9446 33.4243213, -111.9443033 33.4243197, -111.9442993 33.4231771)"
20,2,41520515,,329,1,174,1,1,41520512,,,,,,300,1,SBR,"LINESTRING (-111.9442814 33.4254737, -111.9443033 33.4243197, -111.9446 33.4243213)"
21,2,41520515,,329,1,331,1,1,41520512,41520518,,,,,250,1,SBT,"LINESTRING (-111.9442814 33.4254737, -111.9443033 33.4243197, -111.9442993 33.4231771)"
22,2,41520515,,332,1,174,1,1,41520518,,,,,,268,1,NBL,"LINESTRING (-111.9442993 33.4231771, -111.9443033 33.4243197, -111.9446 33.4243213)"
23,2,41520515,,332,1,330,1,1,41520518,41520512,,,,,267,1,NBT,"LINESTRING (-111.9442993 33.4231771, -111.9443033 33.4243197, -111.9442814 33.4254737)"
24,3,41520518,,97,1,332,1,1,,41520515,,,,,256,1,EBL,"LINESTRING (-111.9446 33.4231772, -111.9442993 33.4231771, -111.9443033 33.4243197)"
25,3,41520518,,97,1,333,1,1,,41520521,,,,,252,1,EBR,"LINESTRING (-111.9446 33.4231772, -111.9442993 33.4231771, -111.9442661 33.4218936)"
26,3,41520518,,331,1,96,1,1,41520515,,,,,,247,1,SBR,"LINESTRING (-111.9443033 33.4243197, -111.9442993 33.4231771, -111.9446 33.4231772)"
27,3,41520518,,331,1,333,1,1,41520515,41520521,,,,,243,1,SBT,"LINESTRING (-111.9443033 33.4243197, -111.9442993 33.4231771, -111.9442661 33.4218936)"
28,3,41520518,,334,1,96,1,1,41520521,,,,,,238,1,NBL,"LINESTRING (-111.9442661 33.4218936, -111.9442993 33.4231771, -111.9446 33.4231772)"
29,3,41520518,,334,1,332,1,1,41520521,41520515,,,,,233,1,NBT,"LINESTRING (-111.9442661 33.4218936, -111.9442993 33.4231771, -111.9443033 33.4243197)"
30,4,41520521,,333,1,335,1,1,41520518,41520523,,,,,229,1,SBT,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9442498 33.420638)"
31,4,41520521,,333,1,530,1,1,41520518,4346605143,,,,,224,1,SBL,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9439222 33.4218959)"
32,4,41520521,,333,1,531,2,1,41520518,,,,,,220,1,SBR,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9446 33.4218947)"
33,4,41520521,,336,1,334,1,1,41520523,41520518,,,,,215,1,NBT,"LINESTRING (-111.9442498 33.420638, -111.9442661 33.4218936, -111.9442993 33.4231771)"
34,4,41520521,,336,1,530,2,1,41520523,4346605143,,,,,210,1,NBR,"LINESTRING (-111.9442498 33.420638, -111.9442661 33.4218936, -111.9439222 33.4218959)"
