mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
335,54,41573974,intersection5,253,1,,1101,1,,1,41966652,4347900943,left,,,,WBL,"LINESTRING (-111.9262109754582 33.41288278608436, -111.9262953092519 33.4128106384731)",,,auto
336,54,41573974,intersection5,253,1,,1102,3,,1,41966652,4347900944,right,,,,WBR,"LINESTRING (-111.9262109754582 33.41288278608436, -111.926299150698 33.41295491685275)",,,auto
337,54,41573974,intersection5,1100,4,,252,1,,1,4347900943,41966652,right,,,,NBR,"LINESTRING (-111.9262953092519 33.4128106384731, -111.9262109754582 33.41288278608436)",,,auto
338,54,41573974,intersection5,1100,1,3,1102,1,3,3,4347900943,4347900944,thru,,,,NBT,"LINESTRING (-111.9262953092519 33.4128106384731, -111.926299150698 33.41295491685275)",,,auto
339,54,41573974,intersection5,1103,1,,252,1,,1,4347900944,41966652,left,,,,SBL,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262109754582 33.41288278608436)",,,auto
340,54,41573974,intersection5,1103,4,,1101,3,,1,4347900944,4347900943,thru,,,,SBT,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262953092519 33.4128106384731)",,,auto
341,55,41573980,intersection3,1014,2,3,1035,2,3,2,4347879974,4347879972,thru,,,,SBT,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9263029415787 33.41676579867902)",,,auto
342,55,41573980,intersection3,1014,4,,1571,1,,1,4347879974,41654675,right,,,,SBR,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9263897366158 33.41683655400024)",,,auto
343,55,41573980,intersection3,1014,1,,1572,1,,1,4347879974,5646687226,left,,,,SBL,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9262177277877 33.41683513004448)",,,auto
344,55,41573980,intersection3,1034,2,3,1013,2,3,2,4347879972,4347879974,thru,,,,NBT,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9263028681245 33.41691010875997)",,,auto
345,55,41573980,intersection3,1034,1,,1571,1,,1,4347879972,41654675,left,,,,NBL,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9263897366158 33.41683655400024)",,,auto
346,55,41573980,intersection3,1034,4,,1572,1,,1,4347879972,5646687226,right,,,,NBR,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9262177277877 33.41683513004448)",,,auto
347,55,41573980,intersection3,1570,1,,1013,1,,1,41654675,4347879974,left,,,,EBL,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263028681245 33.41691010875997)",,,auto
348,55,41573980,intersection3,1570,1,,1035,3,,1,41654675,4347879972,right,,,,EBR,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263029415787 33.41676579867902)",,,auto
349,55,41573980,intersection3,1570,1,,1572,1,,1,41654675,5646687226,thru,,,,EBT,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9262177277877 33.41683513004448)",,,auto
350,55,41573980,intersection3,1573,1,,1013,3,,1,5646687226,4347879974,right,,,,WBR,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263028681245 33.41691010875997)",,,auto
351,55,41573980,intersection3,1573,1,,1035,1,,1,5646687226,4347879972,left,,,,WBL,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263029415787 33.41676579867902)",,,auto
352,55,41573980,intersection3,1573,1,,1571,1,,1,5646687226,41654675,thru,,,,WBT,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263897366158 33.41683655400024)",,,auto
353,56,41573982,intersection2,1017,4,,1025,3,,1,4347879978,4347879979,thru,,,,NBT,"LINESTRING (-111.9262970228552 33.41906493834914, -111.9262968978746 33.41920925058242)",,,auto
354,56,41573982,intersection2,1017,1,,1566,1,,1,4347879978,8444419082,left,,,,NBL,"LINESTRING (-111.9262970228552 33.41906493834914, -111.9263821664201 33.41914197879996)",,,auto
355,56,41573982,intersection2,1026,1,2,1018,1,2,2,4347879979,4347879978,thru,,,,SBT,"LINESTRING (-111.9262968978746 33.41920925058242, -111.9262970228552 33.41906493834914)",,,auto
